AL	AP	DAL	StartOffset	EndOffset	LAAL	NumChunks	RTF
1586.98	0.514	1586.98	1586.98	42.127	1586.98	1.0	1.027
1706.692	0.514	1706.692	1706.692	45.74	1706.692	1.0	1.028
1530.897	0.515	1530.897	1530.897	44.094	1530.897	1.0	1.03
1599.901	0.343	1599.901	1599.901	43.439	1599.901	1.0	1.028
							
							
							
1966.687	0.13	1966.687	1966.687	-1052.633	1966.687	1.0	0.651
1963.925	0.045	1963.925	1963.925	-2924.601	1963.925	1.0	0.402
1958.786	0.496	1958.786	1958.786	-15.636	1958.786	1.0	0.992
1961.091	0.07	1961.091	1961.091	-1534.238	1961.091	1.0	0.561
1961.405	0.058	1961.405	1961.405	-1824.173	1961.405	1.0	0.518
							
1959.509	0.159	1959.509	1959.509	-502.532	1959.509	1.0	0.796
1961.066	0.086	1961.066	1961.066	-1302.063	1961.066	1.0	0.601
1959.683	0.088	1959.683	1959.683	-1233.786	1959.683	1.0	0.614
1966.514	0.073	1966.514	1966.514	-1865.504	1966.514	1.0	0.513
							
							
							
1961.051	0.283	1961.051	1961.051	-350.06	1961.051	1.0	0.849
1962.123	0.304	1962.123	1962.123	-186.449	1962.123	1.0	0.913
1619.339	0.342	1619.339	1619.339	39.656	1619.339	1.0	1.025
1924.698	0.341	1924.698	1924.698	41.75	1924.698	1.0	1.022
1866.312	0.341	1866.312	1866.312	42.82	1866.312	1.0	1.023
1511.548	0.512	1511.548	1511.548	36.355	1511.548	1.0	1.025
1964.016	0.154	1964.016	1964.016	-590.905	1964.016	1.0	0.769
1970.978	0.168	1970.978	1970.978	-374.963	1970.978	1.0	0.84
1565.766	0.518	1565.766	1565.766	55.743	1565.766	1.0	1.037
							
							
1512.948	0.516	1512.948	1512.948	47.959	1512.948	1.0	1.033
							
							
1780.231	0.343	1780.231	1780.231	49.619	1780.231	1.0	1.029
1779.511	0.343	1779.511	1779.511	48.899	1779.511	1.0	1.028
1757.147	0.343	1757.147	1757.147	49.755	1757.147	1.0	1.029
1596.521	0.517	1596.521	1596.521	51.669	1596.521	1.0	1.033
1494.472	0.515	1494.472	1494.472	42.499	1494.472	1.0	1.029
1759.455	0.341	1759.455	1759.455	40.453	1759.455	1.0	1.024
1633.96	0.513	1633.96	1633.96	42.668	1633.96	1.0	1.027
1598.025	0.513	1598.025	1598.025	41.562	1598.025	1.0	1.027
1478.87	0.513	1478.87	1478.87	38.507	1478.87	1.0	1.027
1597.281	0.513	1597.281	1597.281	40.818	1597.281	1.0	1.026
							
1505.995	0.343	1505.995	1505.995	41.007	1505.995	1.0	1.028
1420.321	0.514	1420.321	1420.321	38.008	1420.321	1.0	1.027
1504.479	0.513	1504.479	1504.479	39.49	1504.479	1.0	1.027
							
							
							
1689.332	0.512	1689.332	1689.332	39.99	1689.332	1.0	1.024
							
							
1527.233	1.027	1527.233	1527.233	40.43	1527.233	1.0	1.027
1961.816	0.485	1961.816	1961.816	-59.046	1961.816	1.0	0.971
							
							
							
							
							
1667.672	0.513	1667.672	1667.672	41.55	1667.672	1.0	1.026
1492.534	1.028	1492.534	1492.534	40.561	1492.534	1.0	1.028
							
1585.06	0.513	1585.06	1585.06	40.207	1585.06	1.0	1.026
1668.845	0.342	1668.845	1668.845	42.723	1668.845	1.0	1.026
1492.712	0.514	1492.712	1492.712	40.739	1492.712	1.0	1.028
1548.126	0.513	1548.126	1548.126	38.104	1548.126	1.0	1.025
1530.124	0.515	1530.124	1530.124	43.321	1530.124	1.0	1.029
1536.878	0.513	1536.878	1536.878	38.465	1536.878	1.0	1.026
1657.155	0.513	1657.155	1657.155	42.642	1657.155	1.0	1.026
							
							
							
1514.274	0.513	1514.274	1514.274	39.081	1514.274	1.0	1.026
							
1961.302	0.331	1961.302	1961.302	-13.12	1961.302	1.0	0.993
1465.084	0.513	1465.084	1465.084	36.331	1465.084	1.0	1.025
1963.746	0.475	1963.746	1963.746	-103.556	1963.746	1.0	0.95
							
1726.721	0.342	1726.721	1726.721	42.548	1726.721	1.0	1.025
1966.327	0.239	1966.327	1966.327	-89.364	1966.327	1.0	0.957
1666.761	0.342	1666.761	1666.761	40.639	1666.761	1.0	1.025
1550.612	0.513	1550.612	1550.612	40.59	1550.612	1.0	1.027
1960.829	0.098	1960.829	1960.829	-1384.976	1960.829	1.0	0.586
1958.74	0.502	1958.74	1958.74	7.538	1958.74	1.0	1.004
1819.027	0.511	1819.027	1819.027	40.569	1819.027	1.0	1.023
							
1660.123	0.343	1660.123	1660.123	45.61	1660.123	1.0	1.028
1963.141	0.477	1963.141	1963.141	-92.55	1963.141	1.0	0.955
1683.209	0.514	1683.209	1683.209	45.477	1683.209	1.0	1.028
1979.198	0.471	1979.198	1979.198	-122.933	1979.198	1.0	0.942
1961.974	0.418	1961.974	1961.974	-383.967	1961.974	1.0	0.836
1841.473	0.511	1841.473	1841.473	41.201	1841.473	1.0	1.023
1965.759	0.229	1965.759	1965.759	-891.021	1965.759	1.0	0.688
							
1969.589	0.197	1969.589	1969.589	-527.282	1969.589	1.0	0.789
1966.48	0.211	1966.48	1966.48	-367.851	1966.48	1.0	0.842
1739.269	0.513	1739.269	1739.269	43.487	1739.269	1.0	1.026
1671.466	0.514	1671.466	1671.466	45.344	1671.466	1.0	1.028
1962.286	0.293	1962.286	1962.286	-267.555	1962.286	1.0	0.88
1785.542	0.512	1785.542	1785.542	43.32	1785.542	1.0	1.025
1479.419	0.514	1479.419	1479.419	39.056	1479.419	1.0	1.027
1966.474	0.166	1966.474	1966.474	-402.687	1966.474	1.0	0.83
							
1967.597	0.34	1967.597	1967.597	39.615	1967.597	1.0	1.021
1567.079	0.515	1567.079	1567.079	45.446	1567.079	1.0	1.03
1965.021	0.32	1965.021	1965.021	-79.061	1965.021	1.0	0.961
1961.534	0.266	1961.534	1961.534	-500.507	1961.534	1.0	0.797
1889.388	0.341	1889.388	1889.388	42.676	1889.388	1.0	1.023
1894.551	0.342	1894.551	1894.551	47.839	1894.551	1.0	1.026
1967.179	0.213	1967.179	1967.179	-343.932	1967.179	1.0	0.851
1971.498	0.208	1971.498	1971.498	-397.663	1971.498	1.0	0.832
1964.501	0.202	1964.501	1964.501	-462.71	1964.501	1.0	0.809
1961.919	0.218	1961.919	1961.919	-291.142	1961.919	1.0	0.871
1961.437	0.301	1961.437	1961.437	-210.354	1961.437	1.0	0.903
1963.5	0.208	1963.5	1963.5	-394.051	1963.5	1.0	0.833
1963.435	0.111	1963.435	1963.435	-986.225	1963.435	1.0	0.666
1965.217	0.106	1965.217	1965.217	-1135.373	1965.217	1.0	0.634
1961.85	0.217	1961.85	1961.85	-302.821	1961.85	1.0	0.866
1962.546	0.308	1962.546	1962.546	-162.805	1962.546	1.0	0.923
1494.633	0.343	1494.633	1494.633	42.66	1494.633	1.0	1.029
1964.782	0.168	1964.782	1964.782	-381.159	1964.782	1.0	0.838
1968.414	0.177	1968.414	1968.414	-249.817	1968.414	1.0	0.887
1439.435	0.521	1439.435	1439.435	57.122	1439.435	1.0	1.041
1972.129	0.327	1972.129	1972.129	-37.123	1972.129	1.0	0.982
1813.935	0.514	1813.935	1813.935	48.493	1813.935	1.0	1.027
1948.143	0.511	1948.143	1948.143	43.381	1948.143	1.0	1.023
1851.369	0.511	1851.369	1851.369	39.487	1851.369	1.0	1.022
1647.094	0.514	1647.094	1647.094	44.192	1647.094	1.0	1.028
1949.729	0.341	1949.729	1949.729	44.967	1949.729	1.0	1.024
1519.082	0.515	1519.082	1519.082	43.889	1519.082	1.0	1.03
1964.542	0.445	1964.542	1964.542	-242.079	1964.542	1.0	0.89
							
1960.762	0.287	1960.762	1960.762	-315.519	1960.762	1.0	0.861
1889.479	0.341	1889.479	1889.479	42.767	1889.479	1.0	1.023
1777.269	0.342	1777.269	1777.269	46.657	1777.269	1.0	1.027
1796.179	0.512	1796.179	1796.179	42.347	1796.179	1.0	1.024
1669.343	0.513	1669.343	1669.343	43.221	1669.343	1.0	1.027
1961.703	0.311	1961.703	1961.703	-140.429	1961.703	1.0	0.933
1970.086	0.19	1970.086	1970.086	-619.665	1970.086	1.0	0.761
1975.059	0.207	1975.059	1975.059	-405.712	1975.059	1.0	0.83
1971.965	0.464	1971.965	1971.965	-153.386	1971.965	1.0	0.928
1968.387	0.446	1968.387	1968.387	-238.234	1968.387	1.0	0.892
							
1647.279	0.514	1647.279	1647.279	44.376	1647.279	1.0	1.028
1738.089	0.512	1738.089	1738.089	42.307	1738.089	1.0	1.025
1959.357	0.147	1959.357	1959.357	-700.053	1959.357	1.0	0.737
1875.792	0.511	1875.792	1875.792	40.69	1875.792	1.0	1.022
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
1588.292	1.028	1588.292	1588.292	43.44	1588.292	1.0	1.028
1609.775	1.026	1609.775	1609.775	40.297	1609.775	1.0	1.026
1434.281	1.029	1434.281	1434.281	40.358	1434.281	1.0	1.029
1540.974	1.028	1540.974	1540.974	42.561	1540.974	1.0	1.028
1508.662	1.03	1508.662	1508.662	43.673	1508.662	1.0	1.03
1496.53	1.031	1496.53	1496.53	44.557	1496.53	1.0	1.031
1593.298	1.024	1593.298	1593.298	36.835	1593.298	1.0	1.024
							
1455.138	1.027	1455.138	1455.138	37.995	1455.138	1.0	1.027
							
							
1965.02	0.078	1965.02	1965.02	-2250.128	1965.02	1.0	0.466
1845.311	0.513	1845.311	1845.311	45.039	1845.311	1.0	1.025
1964.685	0.231	1964.685	1964.685	-160.667	1964.685	1.0	0.924
1969.116	0.323	1969.116	1969.116	-63.356	1969.116	1.0	0.969
1987.031	0.32	1987.031	1987.031	-80.271	1987.031	1.0	0.961
1962.84	0.31	1962.84	1962.84	-150.902	1962.84	1.0	0.929
1963.331	0.175	1963.331	1963.331	-835.399	1963.331	1.0	0.702
1966.306	0.118	1966.306	1966.306	-1354.873	1966.306	1.0	0.592
1966.259	0.12	1966.259	1966.259	-1320.09	1966.259	1.0	0.598
1969.231	0.184	1969.231	1969.231	-701.79	1969.231	1.0	0.737
1965.004	0.179	1965.004	1965.004	-775.676	1965.004	1.0	0.717
1963.302	0.185	1963.302	1963.302	-696.109	1963.302	1.0	0.738
1961.726	0.177	1961.726	1961.726	-813.784	1961.726	1.0	0.707
1969.358	0.169	1969.358	1969.358	-945.472	1969.358	1.0	0.676
1974.734	0.223	1974.734	1974.734	-243.497	1974.734	1.0	0.89
1963.584	0.126	1963.584	1963.584	-637.777	1963.584	1.0	0.755
