AL	AP	DAL	StartOffset	EndOffset	LAAL	NumChunks	DiscontinuitySum	DiscontinuityAve	DiscontinuityNum	RTF
1333.602	0.525	1154.554	1025.877	280.0	1333.602	2	928.571	928.571	1	1.13
1771.434	0.28	1771.434	1771.434	1200.0	1771.434	1	0.0	0.0	0	1.76
1219.448	0.543	1062.536	1020.004	500.0	1219.448	2	682.948	682.948	1	1.266
1994.755	0.273	1994.755	1994.755	1060.0	1994.755	1	0.0	0.0	0	1.581
1646.794	0.279	1646.794	1646.794	1180.0	1646.794	1	0.0	0.0	0	1.8
2158.24	0.378	2025.702	2025.702	840.0	2158.24	2	314.921	314.921	1	1.329
2077.7	0.323	2014.588	2014.588	260.0	2077.7	2	145.941	145.941	1	1.111
1158.647	0.446	1029.226	1029.226	240.0	1158.647	2	270.023	270.023	1	1.159
882.6	0.995	1025.5	1025.5	275.057	882.6	2	0.0	0.0	0	1.232
1060.766	0.65	1046.399	1046.399	540.0	1060.766	2	112.653	112.653	1	1.411
1093.304	0.609	1031.978	1031.978	540.0	1093.304	2	284.989	284.989	1	1.369
1159.309	1.085	1159.309	1159.309	440.0	1159.309	1	0.0	0.0	0	1.412
